canBeResolved albion bc,QLD,4010,0,0
albury dc,NSW,2640,0,0
archerfield bc,QLD,4108,0,0
armidale dc,NSW,2350,0,0
ballina dc,NSW,2478,0,0
belconnen dc,ACT,2617,0,0
bentley dc,WA,6102,0,0
bibra lake dc,WA,6163,0,0
brendale bc,QLD,4500,0,0
bundall dc,QLD,4217,0,0
burleigh dc,QLD,4220,0,0
burpengary dc,QLD,4505,0,0
caboolture bc,QLD,4510,0,0
cairns dc,QLD,4870,0,0
cairns mc,QLD,4870,0,0
cairns mc,QLD,4872,0,0
caloundra dc,QLD,4551,0,0
canning vale dc,WA,6155,0,0
capalaba bc,QLD,4157,0,0
capalaba dc,QLD,4157,0,0
central queensland mc,QLD,4702,0,0
cleveland dc,QLD,4163,0,0
coorparoo dc,QLD,4151,0,0
darwin dc,NT,0820,0,0
dubbo dc,NSW,2830,0,0
dural dc,NSW,2158,0,0
eagle farm bc,QLD,4009,0,0
ferny hills dc,QLD,4055,0,0
geelong mc,VIC,3221,0,0
gladstone bc,QLD,4680,0,0
gladstone dc,QLD,4680,0,0
griffith dc,NSW,2680,0,0
gwelup dc,WA,6018,0,0
gympie dc,QLD,4570,0,0
hamilton dc,NSW,2303,0,0
hervey bay dc,QLD,4655,0,0
joondalup dc,WA,6027,0,0
katoomba dc,NSW,2780,0,0
kelmscott dc,WA,6111,0,0
kelvin grove dc,QLD,4059,0,0
kenmore dc,QLD,4069,0,0
kingaroy dc,QLD,4610,0,0
kingsgrove dc,NSW,2208,0,0
lane cove dc,NSW,2066,0,0
lavington dc,NSW,2641,0,0
lismore dc,NSW,2480,0,0
logan city dc,QLD,4114,0,0
loganholme bc,QLD,4129,0,0
loganholme dc,QLD,4129,0,0
lonsdale dc,SA,5160,0,0
mackay dc,QLD,4740,0,0
mackay mc,QLD,4741,0,0
mandurah dc,WA,6210,0,0
mansfield dc,QLD,4122,0,0
marleston dc,SA,5033,0,0
maroochydore dc,QLD,4558,0,0
maryborough dc,QLD,4650,0,0
melrose park dc,SA,5039,0,0
metford dc,NSW,2323,0,0
milton bc,QLD,4064,0,0
mount isa dc,QLD,4825,0,0
mundaring dc,WA,6073,0,0
nambour dc,QLD,4560,0,0
nedlands dc,WA,6009,0,0
nerang dc,QLD,4211,0,0
noosaville dc,QLD,4566,0,0
orange dc,NSW,2800,0,0
osborne park dc,WA,6017,0,0
port macquarie bc,NSW,2444,0,0
queanbeyan dc,NSW,2620,0,0
randwick dc,NSW,2031,0,0
regents park dc,NSW,2143,0,0
riverina mc,NSW,2678,0,0
robina dc,QLD,4226,0,0
rockhampton dc,QLD,4701,0,0
rockingham dc,WA,6168,0,0
rocklea dc,QLD,4106,0,0
salisbury south bc,SA,5106,0,0
salisbury south dc,SA,5106,0,0
sandgate dc,QLD,4017,0,0
singleton dc,NSW,2330,0,0
south brisbane bc,QLD,4101,0,0
southport bc,QLD,4215,0,0
sumner park bc,QLD,4074,0,0
taree dc,NSW,2430,0,0
thuringowa dc,QLD,4814,0,0
tingalpa dc,QLD,4173,0,0
toowong bc,QLD,4066,0,0
toowong dc,QLD,4066,0,0
toowoomba dc,QLD,4350,0,0
toowoomba mc,QLD,4352,0,0
townsville dc,QLD,4810,0,0
townsville mc,QLD,4810,0,0
upper mount gravatt bc,QLD,4122,0,0
virginia bc,QLD,4014,0,0
virginia dc,QLD,4014,0,0
wagga wagga bc,NSW,2650,0,0
wallsend dc,NSW,2287,0,0
wangara dc,WA,6065,0,0
warwick dc,QLD,4370,0,0
waterloo dc,NSW,2017,0,0
wetherill park bc,NSW,2164,0,0
whyalla dc,SA,5600,0,0
yatala dc,QLD,4207,0,0